"","AccessionName","control_dGP","control_GPF","control_GPI","control_L4A","control_L4DM","control_L4FM","control_LeafElongationFactor","control_LeafHorizWidth","control_LeafPerimeter","control_LeafSucculence","control_LeafVertLength","control_LK","control_LNa","control_RDM","control_RFM","control_RK","control_RL","control_RNa","control_SDM","control_SFM","control_SL","control_ST","control_TDM","control_TFM","control_WC","control_WCn","relative_DG","relative_dGP","relative_DH","relative_DL4","relative_GPF","relative_GPI","relative_L4A","relative_L4DM","relative_L4FM","relative_LeafElongationFactor","relative_LeafHorizWidth","relative_LeafPerimeter","relative_LeafSucculence","relative_LeafVertLength","relative_LK","relative_LN","relative_LNa","relative_RDM","relative_RFM","relative_RK","relative_RL","relative_RNa","relative_SDM","relative_SFM","relative_SL","relative_ST","relative_TDM","relative_TFM","relative_WC","relative_WCn","salt_dGP","salt_GPF","salt_GPI","salt_L4A","salt_L4DM","salt_L4FM","salt_LeafElongationFactor","salt_LeafHorizWidth","salt_LeafPerimeter","salt_LeafSucculence","salt_LeafVertLength","salt_LK","salt_LNa","salt_RDM","salt_RFM","salt_RK","salt_RL","salt_RNa","salt_SDM","salt_SFM","salt_SL","salt_ST","salt_TDM","salt_TFM","salt_WC","salt_WCn","T0_GPI","T0_RDM","T0_RFM","T0_RL","T0_SDM","T0_SFM","T0_SL","T0_ST","T0_TDM","T0_TFM","T0_WC","T0_WCn"
"1","LA0166",6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,4,5,5,6,6,6,6,6,6,6,6,5,5,6,6,5,6,6,6,6,6,6,6,6,6,5,4,6,5,6,6,6,6,5,4,4,5,6,6,6,6,6,6,6,6,6,6,6,4
"2","LA0317",4,5,6,5,5,5,6,5,5,6,5,4,6,6,4,5,6,6,5,6,5,5,6,6,6,6,6,5,6,5,4,6,5,5,5,6,5,5,6,5,6,5,6,6,6,5,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,5,6,6,6,6,6,6,6,6
"3","LA0421",6,6,5,6,5,6,6,5,6,6,5,5,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,5,4,5,6,6,6,6,6,6,6,5,4,6,6,6,6,6,6,6,6,5,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6
"4","LA0422",6,6,6,5,6,6,6,6,5,5,6,6,6,6,5,6,5,5,6,6,6,4,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,5,5,5,6,6,6,6,6,4,6,6,6,5,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,5,6,6,6,6,6,6,6,6,6
"5","LA0426",6,6,6,6,5,5,6,5,6,5,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,5,6,6,6,5,4,5,6,6,6,6,6,6,6,6,4,6,6,6,5,6,6,6,5,5,5,6,6,6,5,6,6,6,6,6,6,6,6,5
"6","LA0428",6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,4,5,6
"7","LA0429",6,6,4,6,6,6,6,6,4,6,6,6,6,4,6,4,6,5,6,6,6,6,6,6,6,6,6,5,6,5,6,6,5,6,6,5,5,5,4,5,6,5,5,6,6,5,6,5,6,6,6,4,6,6,6,5,6,6,6,5,6,6,5,4,5,4,5,6,5,5,5,6,6,4,6,6,6,5,6,6,6,6,6,5,6,6,6,6,5,6,4,6,6,6
"8","LA0434",5,5,6,6,6,6,6,6,6,5,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,5,6,5,4,5,5,5,5,6,6,6,6,5,6,6,5,6,6,6,5,6,6,6,6,6,6,6,5,6,6,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,5,6,6,5,5,4
"9","LA0436",6,6,6,6,6,6,6,6,6,4,5,6,6,6,6,6,6,5,6,5,6,6,6,5,5,6,6,5,6,6,6,5,6,6,6,6,6,6,6,5,5,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,5,6,6,5,6,4,6,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6
"10","LA0437",6,6,6,4,5,4,6,6,4,6,5,5,6,4,6,6,6,6,6,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,5,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,4,6,5,6,5,5,5,5,4,5,5,5,6
"11","LA0438",6,6,6,6,6,6,6,6,6,6,6,5,4,6,6,5,6,5,6,6,6,6,5,6,6,6,6,5,6,6,5,5,6,6,6,6,6,6,6,6,6,4,6,6,4,4,6,4,6,5,4,5,5,5,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,5,4,5,6,6,6,6,4,6,6,6,6,6
"12","LA0480A",6,6,5,5,6,6,5,5,5,4,4,6,5,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,3,5,5,5,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,4,6,6,5,5,5,5,4,5,6,6,6,5,5,5,6,6,6,5,6,5,6,6,5,5,5,6,6,6,6,6,5,5,6,5,5,5,5,6
