Trait,AccessionNumber,Condition,rep1,rep2,rep3,rep4,rep5,rep6
dGP,VF-36,control,1781603,2717029,2957563,2506448,NA,3109538
GPF,VF-36,control,2252208,3123009,3434137,2787605,NA,3391484
GPI,VF-36,control,470605,405980,476574,281157,290820,281946
L4A,VF-36,control,34.2537,33.9889,31.2617,25.7862,24.8295,12.5559
L4DM,VF-36,control,35.28,32.1,35.42,29.75,28.98,NA
L4FM,VF-36,control,406.59,405.92,374.59,314.71,294.65,143.11
LeafElongationFactor,VF-36,control,0.8999,0.7682,0.764,0.7859,0.6701,0.6831
LeafHorizWidth,VF-36,control,10.0353,8.6576,8.6746,7.8072,7.1098,NA
LeafPerimeter,VF-36,control,59.9348,65.6059,56.6526,47.136,45.7571,32.2786
LeafSucculence,VF-36,control,10.83999685,10.9982965,10.84937799,11.05087217,10.69977245,NA
LeafVertLength,VF-36,control,11.1519,11.2703,11.3549,9.9335,10.6104,NA
LK,VF-36,control,128.4640866,135.6267722,149.3351417,134.9312184,146.79866,NA
LNa,VF-36,control,10.12630955,8.560269648,5.631394286,9.03635598,5.51435992,5.737257045
RDM,VF-36,control,22.67,16.67,25.26,14.56,13.98,11.84
RFM,VF-36,control,517.01,354.76,568.73,351.45,290.95,236.57
RK,VF-36,control,99.52664158,107.0720814,108.5616501,78.36385764,72.93208651,77.87122325
RL,VF-36,control,17.2,21.7,20.8,19.3,19,22.7
RNa,VF-36,control,23.44540195,24.25389689,27.69242092,21.07512838,25.59844026,21.93743603
SDM,VF-36,control,129.16,98.8,139.36,93.65,92.3,88.88
SFM,VF-36,control,3036.71,2468.55,3084.49,2083.4,1961.35,1731.59
SL,VF-36,control,11.4,10,11,10.5,11,NA
ST,VF-36,control,3.79,3.52,3.73,3.39,3.4,3.04
TDM,VF-36,control,187.11,147.57,200.04,137.96,135.26,115.72
TFM,VF-36,control,3553.72,2823.31,3653.22,2434.85,2252.3,1968.16
WC,VF-36,control,3366.61,2675.74,3453.18,2296.89,2117.04,1852.44
WCn,VF-36,control,0.947348131,0.947731563,0.945242827,0.943339425,0.939945833,0.941203967
dGP,VF-36,salt,658771,531809,507877,366458,192135,272085
GPF,VF-36,salt,951047,879660,959724,622146,453618,501374
GPI,VF-36,salt,292276,347851,451847,255688,261483,229289
L4A,VF-36,salt,1.4564,2.4532,2.3099,0.7858,1.3586,2.3787
L4DM,VF-36,salt,3.72,3.99,2.7,1.5,1.8,3.83
L4FM,VF-36,salt,15.85,25.84,25.6,9.34,15.09,27.5
LeafElongationFactor,VF-36,salt,0.5422,0.5721,0.5189,0.5939,0.5217,0.456
LeafHorizWidth,VF-36,salt,1.3947,1.82,1.6159,0.8845,1.1566,1.5818
LeafPerimeter,VF-36,salt,8.3318,11.75,9.4971,5.0108,7.3802,12.7211
LeafSucculence,VF-36,salt,8.328755836,8.906734062,9.913849084,9.977093408,9.782128662,9.95081347
LeafVertLength,VF-36,salt,2.5722,3.1814,3.1137,1.4892,2.2168,3.4691
LK,VF-36,salt,NA,183.5240275,132.6419214,215.2423469,174.7554552,204.9007182
LNa,VF-36,salt,NA,87.18535469,49.34497817,83.54591837,97.8179082,122.5179552
RDM,VF-36,salt,5.66,6.28,5.65,4.9,5,4.55
RFM,VF-36,salt,99.3,112.64,87.54,71.19,60.7,71.32
RK,VF-36,salt,34.44041008,30.46257992,28.20857248,36.12912958,28.81508079,37.36708102
RL,VF-36,salt,13.5,16,14,18.1,14,16.7
RNa,VF-36,salt,164.4596326,170.1767582,157.8336793,176.4972092,169.2100539,180.0958514
SDM,VF-36,salt,43.72,44.78,56.2,27.38,24.84,21.86
SFM,VF-36,salt,564.38,636.57,792.71,372.27,341.12,302.86
SL,VF-36,salt,7.5,7,8,7.5,5.9,4.8
ST,VF-36,salt,1.5,1.53,1.81,1.94,1.71,1.64
TDM,VF-36,salt,53.1,55.05,64.55,33.78,31.64,30.24
TFM,VF-36,salt,663.68,749.21,880.25,443.46,401.82,374.18
WC,VF-36,salt,610.58,694.16,815.7,409.68,370.18,343.94
WCn,VF-36,salt,0.919991562,0.926522604,0.92666856,0.923826275,0.921258275,0.919183281
dGP,VF-36,T0,NA,NA,NA,NA,NA,NA
GPF,VF-36,T0,NA,NA,NA,NA,NA,NA
GPI,VF-36,T0,592858,484847,484705,310057,220820,208262
L4A,VF-36,T0,NA,NA,NA,NA,NA,NA
L4DM,VF-36,T0,NA,NA,NA,NA,NA,NA
L4FM,VF-36,T0,NA,NA,NA,NA,NA,NA
