Trait,AccessionNumber,AccessionName,rep1,rep2,rep3,rep4,rep5,rep6
DG,VF-36,VF-36,5,5,5,5,5,5
DL4,VF-36,VF-36,14,14,14,18,18,19
DH,VF-36,VF-36,11,11,11,11,11,11
LN,VF-36,VF-36,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,NA
RL,VF-36,VF-36,0.372881356,0.412371134,-0.079365079,0.9,2.111111111,-0.621621622
SL,VF-36,VF-36,0.22,0.142857143,0.285714286,0.285714286,-0.02,-0.296296296
ST,VF-36,VF-36,-0.237837838,-0.099447514,-0.043478261,0.263959391,0.262008734,0.270833333
RFM,VF-36,VF-36,0.113781983,0.196895316,0.089569182,0.113690269,0.083837339,0.163164025
SFM,VF-36,VF-36,0.081112924,0.16339923,0.172979976,0.075504625,0.100776441,0.074584812
TFM,VF-36,VF-36,0.085982839,0.167452745,0.159619476,0.081076467,0.098702956,0.084629741
RDM,VF-36,VF-36,0.182997118,0.263120567,0.166949873,0.217813765,0.238983051,0.265861027
SDM,VF-36,VF-36,0.227626107,0.348292918,0.319921492,0.172762452,0.19709593,0.151860289
TDM,VF-36,VF-36,0.196197217,0.283290727,0.25242772,0.147532935,0.169711538,0.177681578
WC,VF-36,VF-36,0.079848023,0.161122353,0.154225537,0.077104769,0.094107336,0.078722365
WCn,VF-36,VF-36,NA,-5.26093252,12.72812595,-8.030696635,3.479699765,4.190304269
GPI,VF-36,VF-36,NA,0.85681807,0.948115088,0.909413602,0.899123169,0.813237287
GPF,VF-36,VF-36,0.422273165,0.281670658,0.279465845,0.223182983,0.098833609,0.14783322
dGP,VF-36,VF-36,NA,0.195731809,0.171721448,0.146206105,0.044694054,0.087500137
L4FM,VF-36,VF-36,0.038982759,0.063657864,0.068341387,0.029678116,0.051213304,NA
L4DM,VF-36,VF-36,0.105442177,0.124299065,0.07622812,0.050420168,0.062111801,NA
L4A,VF-36,VF-36,0.042518035,0.072176505,0.073889136,0.030473664,0.054717171,NA
RNa,VF-36,VF-36,7.01457936,7.016470754,5.699526226,8.374668283,6.610170471,8.209521439
RK,VF-36,VF-36,0.34604212,0.284505349,0.259839202,0.461043275,0.395094699,0.479857378
LNa,VF-36,VF-36,20.51580397,10.18488415,8.76247971,9.245531999,17.73876019,21.35479624
LK,VF-36,VF-36,2.351968196,1.353154871,0.888216396,1.595200499,1.190443123,1.025384024
LeafSucculence,VF-36,VF-36,0.768335633,0.809828509,0.913771194,0.902833121,0.914237075,0.975266715
LeafPerimeter,VF-36,VF-36,0.139014396,0.179099746,0.167637496,0.10630516,0.161290816,NA
LeafVertLength,VF-36,VF-36,0.230651279,0.282281749,0.274216418,0.149916948,0.20892709,NA
LeafHorizWidth,VF-36,VF-36,0.138979403,0.210219922,0.186279483,0.113292858,0.162676869,NA
LeafElongationFactor,VF-36,VF-36,0.60251139,0.744727935,0.679188482,0.755694109,0.778540516,0.667545015
DG,Y01,LA0166,6,6,6,6,6,6
DL4,Y01,LA0166,10,10,11,11,11,11
DH,Y01,LA0166,11,11,11,11,11,11
LN,Y01,LA0166,0.5,0.5,0.5,NA,0.666666667,0.666666667
RL,Y01,LA0166,0.992592593,1.088235294,0.631578947,0.888888889,0.868421053,NA
SL,Y01,LA0166,0.233333333,0.684210526,0.261904762,0.30952381,0.535714286,0.695652174
ST,Y01,LA0166,-0.369318182,-0.240740741,0.240740741,0.277372263,0.444444444,0.492647059
RFM,Y01,LA0166,NA,0.169458584,0.14368231,0.248000853,0.198749705,0.314574752
SFM,Y01,LA0166,0.16246884,0.203877475,0.140645161,0.256881908,0.393006091,0.403472321
TFM,Y01,LA0166,0.440538906,0.199459476,0.141044267,0.255581829,0.344301726,0.387779762
RDM,Y01,LA0166,0.557713053,0.358163265,0.412098299,0.421669107,0.404891304,0.606170599
SDM,Y01,LA0166,0.228765907,0.286885246,0.289041619,0.281582157,0.348163265,0.374047374
TDM,Y01,LA0166,0.233949168,0.256520846,0.278719653,0.294893342,0.360330339,0.365040058
WC,Y01,LA0166,0.453151289,0.195956297,0.134749662,0.253056377,0.343131551,0.389581314
WCn,Y01,LA0166,3.452547245,0.054336221,-0.569875234,-0.291670358,1.550159386,0.211827549
GPI,Y01,LA0166,1.071295617,1.266747436,1.150942414,1.244615075,0.965988261,1.255294859
GPF,Y01,LA0166,0.177167881,0.288172169,0.207520362,0.360250237,0.422716027,0.451395138
dGP,Y01,LA0166,0.116692534,0.212785268,0.15087965,0.257790071,0.341998683,0.345855572
L4FM,Y01,LA0166,0.108533554,0.098555865,0.140592059,0.684485007,1.222099853,0.592118067
L4DM,Y01,LA0166,0.10842803,0.135459818,0.201120797,0.287128713,0.371937639,0.244002742
L4A,Y01,LA0166,0.148979903,0.152606614,0.173000801,0.712820863,1.29040305,0.674261631
RNa,Y01,LA0166,NA,26.67144729,31.25774365,24.08511803,27.04931691,21.75821935
RK,Y01,LA0166,NA,1.341712946,NA,0.949455034,1.031258157,1.410849984
LNa,Y01,LA0166,30.20108529,22.92391389,23.32430217,18.96235914,9.078972201,13.61935034
