,Trait,AccessionNumber,Species,AccessionName,Condition,variable,value
1,Days_to_germination,Y01,S.cheesmaniae,LA0166,relative,rep1,6
2,Days_to_4th_leaf,Y01,S.cheesmaniae,LA0166,relative,rep1,10
3,Leaf_number,Y01,S.cheesmaniae,LA0166,relative,rep1,0.5
4,Root_length,Y01,S.cheesmaniae,LA0166,relative,rep1,0.992592593
5,Stem_length,Y01,S.cheesmaniae,LA0166,relative,rep1,0.233333333
6,Stem_thickness,Y01,S.cheesmaniae,LA0166,relative,rep1,-0.369318182
7,Shoot_fresh_mass,Y01,S.cheesmaniae,LA0166,relative,rep1,0.16246884
8,Plant_fresh_mass,Y01,S.cheesmaniae,LA0166,relative,rep1,0.440538906
9,Root_dry_mass,Y01,S.cheesmaniae,LA0166,relative,rep1,0.557713053
10,Shoot_dry_mass,Y01,S.cheesmaniae,LA0166,relative,rep1,0.228765907
11,Plant_dry_mass,Y01,S.cheesmaniae,LA0166,relative,rep1,0.233949168
12,Water_content,Y01,S.cheesmaniae,LA0166,relative,rep1,0.453151289
13,Water_concentration,Y01,S.cheesmaniae,LA0166,relative,rep1,3.452547245
14,Green_pixel_count_initial,Y01,S.cheesmaniae,LA0166,relative,rep1,1.071295617
15,Green_pixel_count_final,Y01,S.cheesmaniae,LA0166,relative,rep1,0.177167881
16,Green_pixel_count_difference,Y01,S.cheesmaniae,LA0166,relative,rep1,0.116692534
17,Leaf_fresh_mass,Y01,S.cheesmaniae,LA0166,relative,rep1,0.108533554
18,Leaf_dry_mass,Y01,S.cheesmaniae,LA0166,relative,rep1,0.10842803
19,Leaf_area,Y01,S.cheesmaniae,LA0166,relative,rep1,0.148979903
20,Leaf_Na_concentration,Y01,S.cheesmaniae,LA0166,relative,rep1,30.20108529
21,Leaf_K_concentration,Y01,S.cheesmaniae,LA0166,relative,rep1,0.927202394
22,Leaf_succulence,Y01,S.cheesmaniae,LA0166,relative,rep1,0.72857258
23,Leaf_perimeter,Y01,S.cheesmaniae,LA0166,relative,rep1,0.283831469
24,Leaf_vertical_length,Y01,S.cheesmaniae,LA0166,relative,rep1,0.390320152
25,Leaf_horizontal_width,Y01,S.cheesmaniae,LA0166,relative,rep1,0.368417175
26,Leaf_elongation,Y01,S.cheesmaniae,LA0166,relative,rep1,0.943877551
27,Days_to_germination,Y02,S.galapagense,LA0317,relative,rep1,6
28,Days_to_4th_leaf,Y02,S.galapagense,LA0317,relative,rep1,12
29,Leaf_number,Y02,S.galapagense,LA0317,relative,rep1,0.666666667
30,Root_length,Y02,S.galapagense,LA0317,relative,rep1,0.525
31,Stem_length,Y02,S.galapagense,LA0317,relative,rep1,0.473684211
32,Stem_thickness,Y02,S.galapagense,LA0317,relative,rep1,0.626865672
33,Root_fresh_mass,Y02,S.galapagense,LA0317,relative,rep1,0.510700689
34,Shoot_fresh_mass,Y02,S.galapagense,LA0317,relative,rep1,0.5071917
35,Plant_fresh_mass,Y02,S.galapagense,LA0317,relative,rep1,0.507700922
36,Root_dry_mass,Y02,S.galapagense,LA0317,relative,rep1,0.681914894
37,Shoot_dry_mass,Y02,S.galapagense,LA0317,relative,rep1,0.581441801
38,Plant_dry_mass,Y02,S.galapagense,LA0317,relative,rep1,0.550992724
39,Water_content,Y02,S.galapagense,LA0317,relative,rep1,0.504911154
40,Water_concentration,Y02,S.galapagense,LA0317,relative,rep1,-0.551829346
41,Green_pixel_count_initial,Y02,S.galapagense,LA0317,relative,rep1,1.309129362
42,Green_pixel_count_final,Y02,S.galapagense,LA0317,relative,rep1,0.551117668
43,Green_pixel_count_difference,Y02,S.galapagense,LA0317,relative,rep1,0.462786
44,Leaf_fresh_mass,Y02,S.galapagense,LA0317,relative,rep1,0.329389446
