"","Trait","AccessionName","AccessionNumber","variable","value"
"1","DG","VF-36","VF-36","rep1",5
"2","DL4","VF-36","VF-36","rep1",14
"3","DH","VF-36","VF-36","rep1",11
"4","LN","VF-36","VF-36","rep1",0.333333333
"5","RL","VF-36","VF-36","rep1",0.372881356
"6","SL","VF-36","VF-36","rep1",0.22
"7","ST","VF-36","VF-36","rep1",-0.237837838
"8","RFM","VF-36","VF-36","rep1",0.113781983
"9","SFM","VF-36","VF-36","rep1",0.081112924
"10","TFM","VF-36","VF-36","rep1",0.085982839
"11","RDM","VF-36","VF-36","rep1",0.182997118
"12","SDM","VF-36","VF-36","rep1",0.227626107
"13","TDM","VF-36","VF-36","rep1",0.196197217
"14","WC","VF-36","VF-36","rep1",0.079848023
"15","WCn","VF-36","VF-36","rep1",NA
"16","GPI","VF-36","VF-36","rep1",NA
"17","GPF","VF-36","VF-36","rep1",0.422273165
"18","dGP","VF-36","VF-36","rep1",NA
"19","L4FM","VF-36","VF-36","rep1",0.038982759
"20","L4DM","VF-36","VF-36","rep1",0.105442177
"21","L4A","VF-36","VF-36","rep1",0.042518035
"22","RNa","VF-36","VF-36","rep1",7.01457936
"23","RK","VF-36","VF-36","rep1",0.34604212
"24","LNa","VF-36","VF-36","rep1",20.51580397
"25","LK","VF-36","VF-36","rep1",2.351968196
"26","LeafSucculence","VF-36","VF-36","rep1",0.768335633
"27","LeafPerimeter","VF-36","VF-36","rep1",0.139014396
"28","LeafVertLength","VF-36","VF-36","rep1",0.230651279
"29","LeafHorizWidth","VF-36","VF-36","rep1",0.138979403
"30","LeafElongationFactor","VF-36","VF-36","rep1",0.60251139
"31","DG","LA0166","Y01","rep1",6
"32","DL4","LA0166","Y01","rep1",10
"33","DH","LA0166","Y01","rep1",11
"34","LN","LA0166","Y01","rep1",0.5
"35","RL","LA0166","Y01","rep1",0.992592593
"36","SL","LA0166","Y01","rep1",0.233333333
"37","ST","LA0166","Y01","rep1",-0.369318182
"38","RFM","LA0166","Y01","rep1",NA
"39","SFM","LA0166","Y01","rep1",0.16246884
"40","TFM","LA0166","Y01","rep1",0.440538906
"41","RDM","LA0166","Y01","rep1",0.557713053
"42","SDM","LA0166","Y01","rep1",0.228765907
"43","TDM","LA0166","Y01","rep1",0.233949168
"44","WC","LA0166","Y01","rep1",0.453151289
"45","WCn","LA0166","Y01","rep1",3.452547245
"46","GPI","LA0166","Y01","rep1",1.071295617
"47","GPF","LA0166","Y01","rep1",0.177167881
"48","dGP","LA0166","Y01","rep1",0.116692534
"49","L4FM","LA0166","Y01","rep1",0.108533554
"50","L4DM","LA0166","Y01","rep1",0.10842803
"51","L4A","LA0166","Y01","rep1",0.148979903
"52","RNa","LA0166","Y01","rep1",NA
"53","RK","LA0166","Y01","rep1",NA
"54","LNa","LA0166","Y01","rep1",30.20108529
"55","LK","LA0166","Y01","rep1",0.927202394
"56","LeafSucculence","LA0166","Y01","rep1",0.72857258
"57","LeafPerimeter","LA0166","Y01","rep1",0.283831469
"58","LeafVertLength","LA0166","Y01","rep1",0.390320152
"59","LeafHorizWidth","LA0166","Y01","rep1",0.368417175
"60","LeafElongationFactor","LA0166","Y01","rep1",0.943877551
"61","DG","LA0317","Y02","rep1",6
"62","DL4","LA0317","Y02","rep1",12
"63","DH","LA0317","Y02","rep1",11
"64","LN","LA0317","Y02","rep1",0.666666667
"65","RL","LA0317","Y02","rep1",0.525
"66","SL","LA0317","Y02","rep1",0.473684211
"67","ST","LA0317","Y02","rep1",0.626865672
"68","RFM","LA0317","Y02","rep1",0.510700689
"69","SFM","LA0317","Y02","rep1",0.5071917
"70","TFM","LA0317","Y02","rep1",0.507700922
"71","RDM","LA0317","Y02","rep1",0.681914894
"72","SDM","LA0317","Y02","rep1",0.581441801
"73","TDM","LA0317","Y02","rep1",0.550992724
"74","WC","LA0317","Y02","rep1",0.504911154
